"workclass","occupation","capital-gain","capital-loss","hours-per-week","native-country","earnings-probability"
"Self-emp-inc","Exec-managerial",0,0,60,"United-States","<=50K"
"Private","Tech-support",0,0,40,"United-States",">50K"
"Private","Machine-op-inspct",0,0,40,"Mexico","<=50K"
"Private","Other-service",0,0,40,"Puerto-Rico","<=50K"
"Private","Adm-clerical",0,0,48,"United-States","<=50K"
"Private","Machine-op-inspct",5013,0,40,"United-States","<=50K"
"Private","Sales",2407,0,40,"United-States","<=50K"
"Private","Prof-specialty",0,0,40,"United-States","<=50K"
"Private","Transport-moving",0,0,40,"United-States","<=50K"
"Private","Prof-specialty",0,0,45,"United-States",">50K"
"Private","Tech-support",0,0,58,"United-States","<=50K"
"Private","Craft-repair",0,0,40,"United-States","<=50K"
"Private","Adm-clerical",0,0,40,"United-States","<=50K"
"Private","Adm-clerical",0,0,40,"United-States",">50K"
"Self-emp-inc","Exec-managerial",0,0,50,"United-States",">50K"
"Private","Prof-specialty",0,0,40,"United-States","<=50K"
"Private","Prof-specialty",0,0,32,"United-States","<=50K"
"Private","Sales",0,0,40,"United-States","<=50K"
"Self-emp-not-inc","Sales",0,0,70,"United-States",">50K"
"Private","Machine-op-inspct",0,0,40,"United-States","<=50K"
"Private","Prof-specialty",0,0,20,"United-States","<=50K"
"Private","Other-service",0,0,40,"Mexico","<=50K"
"Private","Adm-clerical",0,0,40,"United-States","<=50K"
"Private","Prof-specialty",0,0,2,"United-States","<=50K"
"Private","Other-service",0,0,22,"United-States","<=50K"
"Local-gov","Farming-fishing",0,0,40,"United-States","<=50K"
"Private","Sales",0,0,30,"United-States","<=50K"
"Private","Other-service",0,0,40,"Cuba","<=50K"
"Private","Other-service",0,0,40,"United-States","<=50K"
"Private","Sales",0,0,48,"United-States","<=50K"
"Private","Craft-repair",14344,0,40,"United-States",">50K"
"Private","Sales",0,0,35,"United-States","<=50K"
"Local-gov","Protective-serv",0,0,40,"United-States",">50K"
"Private","Prof-specialty",0,0,50,"United-States","<=50K"
"Private","Sales",0,0,40,"United-States","<=50K"
"Federal-gov","Prof-specialty",0,0,50,"United-States",">50K"
"Private","Prof-specialty",0,0,40,"United-States","<=50K"
"Private","Craft-repair",0,0,40,"United-States","<=50K"
"Private","Machine-op-inspct",0,0,25,"United-States","<=50K"
"Private","Sales",0,1573,35,"United-States","<=50K"
"Local-gov","Protective-serv",0,0,40,"United-States",">50K"
"Local-gov","Handlers-cleaners",0,0,50,"United-States","<=50K"
"Self-emp-not-inc","Prof-specialty",0,1902,60,"United-States",">50K"
"Private","Sales",0,0,48,"United-States",">50K"
"Private","Exec-managerial",0,0,40,"England","<=50K"
"Federal-gov","Other-service",0,0,40,"United-States","<=50K"
"Private","Exec-managerial",0,0,40,"United-States",">50K"
"Private","Exec-managerial",15024,0,60,"United-States",">50K"
"Self-emp-not-inc","Prof-specialty",0,0,50,"United-States","<=50K"
"Private","Tech-support",0,0,40,"United-States","<=50K"
"Private","Craft-repair",0,0,40,"United-States","<=50K"
"Self-emp-inc","Craft-repair",7688,0,40,"United-States",">50K"
"Private","Prof-specialty",34095,0,32,"United-States","<=50K"
"Private","Handlers-cleaners",0,0,40,"United-States","<=50K"
"Local-gov","Adm-clerical",0,0,40,"United-States","<=50K"
"Private","Handlers-cleaners",0,0,40,"United-States","<=50K"
"Private","Sales",0,0,40,"United-States","<=50K"
"Private","Prof-specialty",0,0,40,"United-States",">50K"
"Self-emp-not-inc","Other-service",0,1887,50,"Canada",">50K"
"Private","Sales",4064,0,25,"United-States","<=50K"
"Private","Machine-op-inspct",0,0,40,"United-States","<=50K"
"Private","Handlers-cleaners",0,0,50,"United-States","<=50K"
"Self-emp-inc","Sales",0,0,50,"United-States","<=50K"
"Local-gov","Craft-repair",0,0,40,"United-States",">50K"
"Private","Sales",0,0,56,"United-States","<=50K"
"Private","Craft-repair",0,0,41,"United-States","<=50K"
"Private","Other-service",0,0,40,"United-States","<=50K"
"Private","Exec-managerial",0,0,60,"United-States","<=50K"
"Private","Exec-managerial",0,0,40,"Germany","<=50K"
"State-gov","Prof-specialty",0,0,50,"United-States",">50K"
"Private","Other-service",0,0,35,"United-States","<=50K"
"Private","Exec-managerial",0,0,40,"United-States",">50K"
"Private","Adm-clerical",0,1719,28,"United-States","<=50K"
"Private","Adm-clerical",0,0,40,"United-States",">50K"
"Private","Prof-specialty",0,0,40,"United-States","<=50K"
"Private","Craft-repair",0,0,40,"United-States","<=50K"
"Private","Sales",0,0,60,"United-States","<=50K"
"Private","Other-service",0,1762,40,"United-States","<=50K"
"Self-emp-not-inc","Craft-repair",4386,0,35,"United-States","<=50K"
"Private","Sales",0,0,50,"United-States","<=50K"
"Private","Tech-support",0,0,36,"United-States","<=50K"
"Federal-gov","Prof-specialty",0,0,40,"Iran",">50K"
"Self-emp-not-inc","Craft-repair",0,0,60,"United-States","<=50K"
"Private","Adm-clerical",0,0,35,"United-States","<=50K"
"Private","Sales",0,0,20,"United-States","<=50K"
"Private","Craft-repair",0,0,40,"United-States",">50K"
"Self-emp-inc","Craft-repair",0,0,40,"United-States","<=50K"
"Private","Sales",0,0,40,"United-States","<=50K"
"Private","Other-service",0,0,30,"Mexico","<=50K"
"Private","Prof-specialty",0,1564,40,"United-States",">50K"
"Private","Tech-support",0,0,40,"United-States","<=50K"
"Private","Transport-moving",0,0,30,"United-States","<=50K"
"Private","Other-service",0,0,24,"United-States","<=50K"
"Private","Other-service",0,0,24,"United-States","<=50K"
"Private","Craft-repair",0,2179,40,"United-States","<=50K"
"Private","Prof-specialty",0,0,40,"United-States","<=50K"
"Local-gov","Adm-clerical",0,0,38,"Mexico","<=50K"
"Private","Adm-clerical",0,0,40,"United-States","<=50K"
"Private","Exec-managerial",0,0,40,"Philippines","<=50K"
"Private","Craft-repair",0,0,35,"United-States","<=50K"
"Private","Prof-specialty",0,0,45,"United-States",">50K"
"Private","Craft-repair",0,0,46,"United-States","<=50K"
"Private","Handlers-cleaners",0,0,40,"United-States","<=50K"
"Self-emp-not-inc","Sales",0,1816,2,"United-States","<=50K"
"Private","Craft-repair",0,0,60,"United-States","<=50K"
"Private","Other-service",0,0,50,"United-States","<=50K"
"Private","Prof-specialty",0,0,20,"United-States","<=50K"
"Private","Other-service",0,0,40,"United-States","<=50K"
"Self-emp-inc","Exec-managerial",0,0,40,"United-States","<=50K"
"Private","Exec-managerial",0,0,40,"England","<=50K"
"Self-emp-not-inc","Sales",0,0,40,"United-States",">50K"
"Private","Other-service",0,0,40,"Mexico","<=50K"
"Federal-gov","Exec-managerial",0,0,42,"United-States","<=50K"
"State-gov","Protective-serv",0,0,40,"United-States","<=50K"
"Private","Handlers-cleaners",0,0,16,"United-States","<=50K"
"Local-gov","Prof-specialty",0,0,20,"United-States","<=50K"
"Private","Other-service",0,1980,40,"United-States","<=50K"
"State-gov","Protective-serv",0,0,40,"United-States","<=50K"
"Private","Sales",0,1977,40,"United-States",">50K"
"Private","Craft-repair",0,0,50,"United-States","<=50K"
"State-gov","Prof-specialty",0,0,40,"United-States",">50K"
"Private","Sales",0,0,25,"United-States","<=50K"
"Private","Craft-repair",0,0,40,"United-States","<=50K"
"Private","Handlers-cleaners",0,0,40,"United-States","<=50K"
"Private","Other-service",0,0,12,"United-States","<=50K"
"Private","Prof-specialty",0,0,65,"United-States","<=50K"
"Local-gov","Exec-managerial",0,0,38,"United-States",">50K"
"Private","Adm-clerical",0,0,40,"United-States","<=50K"
"Private","Craft-repair",0,0,45,"United-States","<=50K"
"Private","Machine-op-inspct",0,0,40,"Mexico",">50K"
"Federal-gov","Adm-clerical",0,0,42,"United-States",">50K"
"Private","Adm-clerical",0,0,40,"United-States","<=50K"
"Self-emp-not-inc","Exec-managerial",0,0,40,"United-States","<=50K"
"Private","Prof-specialty",0,0,50,"United-States","<=50K"
"Private","Prof-specialty",0,0,50,"United-States","<=50K"
"State-gov","Prof-specialty",0,0,1,"United-States",">50K"
"Private","Machine-op-inspct",0,0,28,"United-States","<=50K"
"Private","Machine-op-inspct",0,0,40,"United-States","<=50K"
"Local-gov","Craft-repair",0,0,40,"United-States","<=50K"
"Private","Tech-support",0,0,45,"United-States","<=50K"
"Federal-gov","Tech-support",0,0,24,"United-States","<=50K"
"Private","Transport-moving",0,0,40,"Mexico","<=50K"
"Private","Craft-repair",0,0,40,"United-States","<=50K"
"Federal-gov","Exec-managerial",14084,0,55,"United-States",">50K"
"Private","Prof-specialty",7298,0,40,"United-States",">50K"
"Self-emp-not-inc","Sales",0,0,40,"United-States","<=50K"
"Private","Prof-specialty",0,1876,40,"United-States","<=50K"
"Private","Prof-specialty",0,0,40,"Italy","<=50K"
"Private","Exec-managerial",0,0,50,"United-States",">50K"
"Local-gov","Prof-specialty",0,1340,40,"United-States","<=50K"
"State-gov","Adm-clerical",0,0,35,"United-States","<=50K"
"Private","Sales",0,0,40,"United-States","<=50K"
"Private","Other-service",7298,0,36,"United-States",">50K"
"Private","Craft-repair",0,0,60,"United-States","<=50K"
"Self-emp-inc","Sales",15024,0,35,"United-States",">50K"
"Private","Sales",0,0,12,"United-States","<=50K"
"Local-gov","Transport-moving",0,0,40,"United-States","<=50K"
"Private","Craft-repair",0,0,40,"United-States",">50K"
"Private","Sales",0,0,40,"United-States","<=50K"
"Private","Craft-repair",0,0,40,"United-States","<=50K"
"Self-emp-inc","Machine-op-inspct",0,0,40,"United-States",">50K"
"Private","Exec-managerial",0,0,60,"United-States",">50K"
"Private","Sales",0,0,40,"United-States","<=50K"
"Private","Sales",0,0,50,"Poland","<=50K"
"Private","Prof-specialty",0,0,55,"United-States","<=50K"
"Private","Craft-repair",0,0,40,"United-States","<=50K"
"Private","Handlers-cleaners",0,0,40,"United-States","<=50K"
"Private","Prof-specialty",0,0,40,"United-States","<=50K"
"Private","Other-service",0,2206,40,"United-States","<=50K"
"Private","Adm-clerical",0,0,20,"United-States","<=50K"
"Local-gov","Machine-op-inspct",0,0,35,"United-States","<=50K"
"Private","Sales",0,0,40,"United-States","<=50K"
"Private","Prof-specialty",0,0,10,"United-States","<=50K"
"Self-emp-not-inc","Farming-fishing",1409,0,50,"United-States","<=50K"
"Private","Adm-clerical",0,0,20,"Columbia","<=50K"
"Private","Adm-clerical",0,0,40,"United-States","<=50K"
"Private","Transport-moving",3674,0,40,"United-States","<=50K"
"Private","Sales",0,0,38,"United-States","<=50K"
"Private","Adm-clerical",0,0,42,"United-States","<=50K"
"Private","Craft-repair",0,0,40,"United-States","<=50K"
"Private","Prof-specialty",0,0,55,"United-States",">50K"
"State-gov","Other-service",0,0,40,"United-States","<=50K"
"State-gov","Adm-clerical",0,0,38,"United-States","<=50K"
"Private","Exec-managerial",0,0,50,"Iran",">50K"
"Local-gov","Exec-managerial",0,0,70,"United-States",">50K"
"Private","Transport-moving",0,0,40,"United-States","<=50K"
"Private","Prof-specialty",0,0,40,"United-States",">50K"
"Self-emp-not-inc","Other-service",0,0,20,"United-States","<=50K"
"State-gov","Protective-serv",0,0,50,"United-States","<=50K"
"Private","Prof-specialty",0,0,20,"United-States","<=50K"
"Private","Craft-repair",0,1741,40,"United-States","<=50K"
"Private","Adm-clerical",0,0,35,"United-States","<=50K"
"Private","Adm-clerical",0,0,45,"United-States",">50K"
"Private","Other-service",0,0,34,"United-States","<=50K"
"Private","Tech-support",0,1977,60,"United-States",">50K"
"Private","Adm-clerical",0,0,40,"United-States","<=50K"
"Private","Prof-specialty",0,0,40,"United-States",">50K"
"Private","Adm-clerical",0,0,40,"United-States","<=50K"
"Local-gov","Other-service",0,0,30,"United-States","<=50K"
"Local-gov","Adm-clerical",0,0,40,"United-States","<=50K"
"Private","Transport-moving",0,0,20,"United-States","<=50K"
"Self-emp-not-inc","Farming-fishing",0,0,40,"Cambodia",">50K"
"Private","Other-service",0,0,40,"United-States","<=50K"
"Private","Other-service",0,0,30,"United-States","<=50K"
"Private","Exec-managerial",0,0,45,"United-States","<=50K"
"Private","Craft-repair",0,0,40,"United-States","<=50K"
"Private","Prof-specialty",0,0,40,"United-States","<=50K"
"Private","Sales",0,0,60,"United-States","<=50K"
"Private","Other-service",0,0,12,"United-States","<=50K"
"Private","Sales",4064,0,40,"United-States","<=50K"
"Private","Craft-repair",0,0,40,"United-States","<=50K"
"Self-emp-inc","Exec-managerial",0,0,75,"Thailand",">50K"
"Private","Prof-specialty",0,0,24,"Canada","<=50K"
"Private","Exec-managerial",0,0,40,"United-States",">50K"
"Private","Prof-specialty",0,0,45,"United-States","<=50K"
"Private","Craft-repair",0,0,40,"United-States",">50K"
"Private","Exec-managerial",0,0,40,"United-States",">50K"
"Private","Other-service",1055,0,24,"United-States","<=50K"
"Self-emp-not-inc","Farming-fishing",2407,0,98,"United-States","<=50K"
"Local-gov","Prof-specialty",0,0,35,"United-States","<=50K"
"Private","Prof-specialty",0,0,40,"United-States","<=50K"
"Private","Handlers-cleaners",0,0,40,"United-States","<=50K"
"Private","Craft-repair",7298,0,40,"United-States",">50K"
"Private","Exec-managerial",0,0,40,"United-States","<=50K"
"Private","Tech-support",0,0,40,"United-States","<=50K"
"Private","Machine-op-inspct",7298,0,48,"United-States",">50K"
"Private","Prof-specialty",0,0,15,"Germany","<=50K"
"Local-gov","Craft-repair",5178,0,40,"United-States",">50K"
"Private","Sales",0,0,45,"United-States","<=50K"
"Private","Prof-specialty",0,0,42,"United-States","<=50K"
"Private","Handlers-cleaners",0,0,40,"United-States","<=50K"
"Federal-gov","Sales",15024,0,40,"United-States",">50K"
"Private","Prof-specialty",0,0,60,"United-States",">50K"
"Private","Other-service",0,0,45,"United-States","<=50K"
"Private","Exec-managerial",0,0,40,"United-States","<=50K"
"Private","Craft-repair",0,0,40,"Ecuador","<=50K"
"Private","Prof-specialty",0,0,45,"United-States","<=50K"
"Private","Prof-specialty",0,0,40,"United-States","<=50K"
"Local-gov","Protective-serv",0,0,56,"United-States","<=50K"
"Private","Sales",0,0,45,"United-States","<=50K"
"Private","Tech-support",0,0,40,"United-States","<=50K"
"Private","Transport-moving",0,0,16,"United-States","<=50K"
"Self-emp-inc","Sales",0,0,60,"United-States","<=50K"
"Private","Prof-specialty",3464,0,40,"United-States","<=50K"
"Private","Craft-repair",0,0,40,"United-States","<=50K"
"Private","Sales",0,0,80,"United-States","<=50K"
"Private","Adm-clerical",7688,0,40,"United-States",">50K"
"Private","Other-service",0,0,25,"United-States","<=50K"
"Private","Transport-moving",0,0,45,"United-States",">50K"
"Private","Sales",4386,0,40,"United-States",">50K"
"Private","Adm-clerical",0,0,40,"Laos","<=50K"
"Private","Adm-clerical",0,0,40,"United-States","<=50K"
"Private","Tech-support",0,0,45,"United-States","<=50K"
"Private","Prof-specialty",0,0,33,"United-States","<=50K"
"Private","Adm-clerical",0,0,40,"United-States",">50K"
"Self-emp-inc","Farming-fishing",0,0,54,"United-States",">50K"
"Private","Sales",0,0,40,"United-States","<=50K"
"Private","Exec-managerial",7298,0,35,"Taiwan",">50K"
"Private","Prof-specialty",0,0,25,"United-States","<=50K"
"Self-emp-not-inc","Prof-specialty",0,0,40,"United-States",">50K"
"Private","Sales",0,0,15,"United-States","<=50K"
"Private","Machine-op-inspct",0,0,40,"United-States","<=50K"
"Self-emp-not-inc","Sales",0,0,40,"United-States","<=50K"
"Private","Machine-op-inspct",0,0,40,"Mexico","<=50K"
"Private","Tech-support",0,0,40,"United-States","<=50K"
"Private","Other-service",0,0,24,"United-States","<=50K"
"Self-emp-not-inc","Exec-managerial",0,0,40,"United-States","<=50K"
"Private","Craft-repair",0,1485,50,"United-States","<=50K"
"Private","Transport-moving",0,0,45,"United-States","<=50K"
"Private","Exec-managerial",0,0,40,"United-States","<=50K"
"Self-emp-not-inc","Craft-repair",0,0,10,"United-States","<=50K"
"Self-emp-not-inc","Farming-fishing",0,0,45,"United-States","<=50K"
"Private","Prof-specialty",0,0,15,"United-States","<=50K"
"Private","Prof-specialty",0,1887,50,"United-States",">50K"
"Self-emp-not-inc","Handlers-cleaners",0,0,40,"United-States","<=50K"
"Private","Transport-moving",2050,0,55,"United-States","<=50K"
"Private","Craft-repair",0,0,45,"United-States","<=50K"
"Private","Adm-clerical",0,0,40,"United-States","<=50K"
"Private","Other-service",0,0,40,"United-States","<=50K"
"Local-gov","Adm-clerical",0,0,40,"United-States","<=50K"
"Private","Transport-moving",0,0,40,"United-States","<=50K"
"Private","Other-service",0,0,48,"Mexico","<=50K"
"Private","Craft-repair",0,0,40,"United-States","<=50K"
"Private","Prof-specialty",0,0,60,"United-States","<=50K"
"Private","Sales",0,0,30,"Haiti","<=50K"
"Private","Other-service",0,0,40,"United-States","<=50K"
"Private","Sales",0,0,40,"United-States","<=50K"
"Private","Craft-repair",7298,0,40,"United-States",">50K"
"State-gov","Protective-serv",7298,0,40,"United-States",">50K"
"Private","Farming-fishing",0,0,20,"United-States","<=50K"
"State-gov","Protective-serv",0,0,40,"United-States","<=50K"
"Self-emp-not-inc","Sales",0,0,42,"United-States","<=50K"
"Private","Prof-specialty",0,0,8,"United-States","<=50K"
"Private","Prof-specialty",0,0,40,"United-States","<=50K"
"Private","Other-service",0,0,25,"Iran","<=50K"
"Private","Prof-specialty",0,0,25,"United-States","<=50K"
"Private","Exec-managerial",0,0,40,"United-States",">50K"
"Private","Other-service",0,0,40,"United-States","<=50K"
"Private","Exec-managerial",0,0,40,"United-States",">50K"
"Local-gov","Transport-moving",0,0,30,"United-States","<=50K"
"Private","Prof-specialty",0,0,40,"United-States",">50K"
"Federal-gov","Adm-clerical",0,0,40,"United-States",">50K"
"Private","Other-service",0,0,40,"United-States","<=50K"
"Private","Tech-support",0,0,40,"United-States",">50K"
"Private","Adm-clerical",0,0,35,"United-States","<=50K"
"Self-emp-not-inc","Craft-repair",0,0,40,"Portugal","<=50K"
"Private","Other-service",0,0,24,"United-States","<=50K"
"Private","Prof-specialty",0,0,40,"United-States",">50K"
"Private","Transport-moving",0,0,45,"United-States","<=50K"
"Private","Exec-managerial",0,1564,45,"United-States",">50K"
"Private","Sales",0,0,55,"United-States","<=50K"
"Private","Craft-repair",0,0,40,"United-States","<=50K"
"Self-emp-not-inc","Sales",0,0,45,"United-States","<=50K"
"Private","Sales",0,0,15,"United-States","<=50K"
"Private","Exec-managerial",0,0,45,"United-States",">50K"
"Private","Sales",0,0,40,"United-States","<=50K"
"Federal-gov","Adm-clerical",0,0,15,"United-States","<=50K"
"Private","Other-service",0,0,10,"United-States","<=50K"
"State-gov","Machine-op-inspct",0,0,38,"United-States",">50K"
"Private","Machine-op-inspct",0,0,40,"United-States","<=50K"
"Private","Craft-repair",0,0,40,"United-States","<=50K"
"Local-gov","Adm-clerical",0,0,10,"United-States","<=50K"
"Private","Craft-repair",0,0,40,"United-States","<=50K"
"Private","Sales",0,0,40,"United-States","<=50K"
"Self-emp-not-inc","Exec-managerial",0,0,30,"United-States","<=50K"
"Private","Sales",0,0,50,"United-States","<=50K"
"Private","Transport-moving",0,0,40,"United-States","<=50K"
"Private","Craft-repair",0,2339,45,"United-States","<=50K"
"Private","Craft-repair",0,0,40,"United-States","<=50K"
"Private","Sales",0,0,40,"United-States","<=50K"
"Local-gov","Transport-moving",0,0,40,"United-States","<=50K"
"Private","Other-service",0,0,25,"United-States","<=50K"
"Private","Machine-op-inspct",0,0,40,"United-States","<=50K"
"Private","Adm-clerical",0,2415,6,"United-States",">50K"
"Private","Adm-clerical",0,0,16,"United-States","<=50K"
"Private","Other-service",0,0,40,"United-States","<=50K"
"Private","Other-service",0,0,40,"United-States",">50K"
"Private","Craft-repair",0,0,50,"United-States","<=50K"
"Self-emp-not-inc","Craft-repair",0,0,40,"United-States","<=50K"
"State-gov","Exec-managerial",7688,0,45,"United-States",">50K"
"Private","Other-service",0,0,35,"United-States","<=50K"
"Private","Tech-support",0,0,40,"United-States","<=50K"
"Private","Handlers-cleaners",0,0,40,"United-States","<=50K"
"Private","Prof-specialty",0,0,35,"United-States","<=50K"
"Private","Exec-managerial",0,0,55,"United-States",">50K"
"Self-emp-inc","Exec-managerial",0,0,50,"United-States",">50K"
"Private","Handlers-cleaners",0,0,40,"United-States","<=50K"
"Private","Other-service",0,0,40,"United-States","<=50K"
"State-gov","Protective-serv",0,0,40,"United-States",">50K"
"Private","Tech-support",0,0,64,"United-States","<=50K"
"Private","Handlers-cleaners",0,2179,40,"Puerto-Rico","<=50K"
"Private","Exec-managerial",0,1977,65,"United-States",">50K"
"Private","Adm-clerical",0,0,40,"United-States","<=50K"
"Self-emp-not-inc","Craft-repair",0,0,25,"United-States","<=50K"
"Private","Prof-specialty",0,1887,40,"United-States",">50K"
"Private","Exec-managerial",0,0,50,"United-States","<=50K"
"Local-gov","Other-service",0,0,24,"United-States","<=50K"
"Private","Handlers-cleaners",0,0,40,"United-States","<=50K"
"Private","Exec-managerial",0,0,40,"United-States","<=50K"
"Private","Exec-managerial",15024,0,60,"United-States",">50K"
"State-gov","Machine-op-inspct",0,0,40,"United-States","<=50K"
"Private","Craft-repair",0,0,50,"United-States",">50K"
"Private","Machine-op-inspct",0,0,40,"Mexico","<=50K"
"Private","Other-service",0,0,19,"United-States","<=50K"
"Local-gov","Machine-op-inspct",0,0,40,"United-States","<=50K"
"State-gov","Transport-moving",0,0,40,"United-States","<=50K"
"Private","Sales",0,0,30,"United-States","<=50K"
"Private","Handlers-cleaners",2176,0,18,"United-States","<=50K"
"State-gov","Exec-managerial",0,0,40,"United-States",">50K"
"Private","Farming-fishing",0,0,40,"United-States","<=50K"
"Private","Craft-repair",0,0,35,"United-States","<=50K"
"Private","Transport-moving",0,0,60,"United-States","<=50K"
"Federal-gov","Prof-specialty",0,1408,40,"United-States","<=50K"
"Private","Handlers-cleaners",0,0,72,"Dominican-Republic","<=50K"
"Self-emp-inc","Exec-managerial",0,0,40,"United-States",">50K"
"Local-gov","Prof-specialty",0,0,40,"United-States","<=50K"
"Private","Prof-specialty",0,0,24,"United-States","<=50K"
"Private","Prof-specialty",0,0,40,"United-States","<=50K"
"Self-emp-not-inc","Prof-specialty",2174,0,40,"United-States","<=50K"
"Private","Other-service",0,0,25,"United-States",">50K"
"Private","Craft-repair",0,1980,40,"Philippines","<=50K"
"Private","Prof-specialty",0,0,50,"United-States",">50K"
"Local-gov","Farming-fishing",594,0,60,"United-States","<=50K"
"Local-gov","Protective-serv",0,0,40,"United-States","<=50K"
"Private","Adm-clerical",0,0,40,"United-States","<=50K"
"Local-gov","Adm-clerical",0,0,40,"United-States","<=50K"
"Private","Prof-specialty",0,0,40,"United-States","<=50K"
"Private","Adm-clerical",0,0,28,"United-States","<=50K"
"Federal-gov","Armed-Forces",0,0,40,"United-States","<=50K"
"Private","Prof-specialty",0,0,40,"United-States",">50K"
"Private","Craft-repair",0,0,40,"Mexico","<=50K"
"Private","Sales",0,0,35,"United-States","<=50K"
"Private","Exec-managerial",0,0,40,"United-States","<=50K"
"Private","Craft-repair",0,0,40,"United-States","<=50K"
"Private","Machine-op-inspct",0,0,40,"United-States","<=50K"
"Private","Prof-specialty",0,0,5,"United-States","<=50K"
"Private","Machine-op-inspct",0,0,40,"United-States","<=50K"
"Self-emp-inc","Craft-repair",0,0,55,"United-States",">50K"
"Private","Craft-repair",0,0,40,"United-States",">50K"
"Private","Exec-managerial",0,0,40,"United-States",">50K"
"Self-emp-not-inc","Sales",0,0,40,"United-States",">50K"
"Private","Machine-op-inspct",0,0,40,"United-States",">50K"
"Private","Exec-managerial",0,0,40,"United-States","<=50K"
"Private","Transport-moving",0,0,50,"United-States","<=50K"
"Private","Transport-moving",0,0,60,"United-States","<=50K"
"Private","Prof-specialty",0,0,40,"United-States","<=50K"
"Private","Farming-fishing",0,0,40,"United-States","<=50K"
"Local-gov","Transport-moving",0,0,40,"United-States","<=50K"
"Private","Prof-specialty",0,0,50,"United-States","<=50K"
"Private","Craft-repair",0,0,40,"United-States","<=50K"
"Private","Tech-support",0,0,20,"United-States","<=50K"
"Private","Adm-clerical",0,0,60,"United-States","<=50K"
"Private","Transport-moving",0,0,40,"United-States","<=50K"
"Private","Transport-moving",0,0,40,"United-States","<=50K"
"Private","Exec-managerial",0,1977,45,"United-States",">50K"
"Private","Tech-support",0,0,16,"United-States",">50K"
"Private","Prof-specialty",0,0,40,"United-States",">50K"
"Private","Prof-specialty",0,0,40,"United-States","<=50K"
"Private","Craft-repair",0,0,40,"United-States","<=50K"
"Private","Transport-moving",0,0,60,"United-States","<=50K"
"Private","Other-service",0,0,24,"United-States","<=50K"
